INFO  [2016-01-24 19:26:55,979] org.eclipse.jetty.util.log: Logging initialized @1050ms
DEBUG [2016-01-24 19:26:56,100] org.hibernate.type.BasicTypeRegistry: Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@50fe837a
DEBUG [2016-01-24 19:26:56,100] org.hibernate.type.BasicTypeRegistry: Adding type registration java.util.Date -> org.hibernate.type.TimestampType@50fe837a
DEBUG [2016-01-24 19:26:56,101] org.hibernate.type.BasicTypeRegistry: Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@5ce33a58
DEBUG [2016-01-24 19:26:56,102] org.hibernate.type.BasicTypeRegistry: Adding type registration calendar -> org.hibernate.type.CalendarType@485a3466
DEBUG [2016-01-24 19:26:56,102] org.hibernate.type.BasicTypeRegistry: Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@485a3466
DEBUG [2016-01-24 19:26:56,102] org.hibernate.type.BasicTypeRegistry: Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@485a3466
DEBUG [2016-01-24 19:26:56,103] org.hibernate.type.BasicTypeRegistry: Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@4264b240
DEBUG [2016-01-24 19:26:56,104] org.hibernate.type.BasicTypeRegistry: Adding type registration locale -> org.hibernate.type.LocaleType@75e01201
DEBUG [2016-01-24 19:26:56,104] org.hibernate.type.BasicTypeRegistry: Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@75e01201
DEBUG [2016-01-24 19:26:56,104] org.hibernate.type.BasicTypeRegistry: Adding type registration currency -> org.hibernate.type.CurrencyType@3829ac1
DEBUG [2016-01-24 19:26:56,105] org.hibernate.type.BasicTypeRegistry: Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@3829ac1
DEBUG [2016-01-24 19:26:56,105] org.hibernate.type.BasicTypeRegistry: Adding type registration timezone -> org.hibernate.type.TimeZoneType@30990c1b
DEBUG [2016-01-24 19:26:56,105] org.hibernate.type.BasicTypeRegistry: Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@30990c1b
DEBUG [2016-01-24 19:26:56,106] org.hibernate.type.BasicTypeRegistry: Adding type registration class -> org.hibernate.type.ClassType@6e1d8f9e
DEBUG [2016-01-24 19:26:56,106] org.hibernate.type.BasicTypeRegistry: Adding type registration java.lang.Class -> org.hibernate.type.ClassType@6e1d8f9e
DEBUG [2016-01-24 19:26:56,108] org.hibernate.type.BasicTypeRegistry: Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@6cbcf243
DEBUG [2016-01-24 19:26:56,108] org.hibernate.type.BasicTypeRegistry: Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@6cbcf243
DEBUG [2016-01-24 19:26:56,108] org.hibernate.type.BasicTypeRegistry: Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@339bf286
DEBUG [2016-01-24 19:26:56,109] org.hibernate.type.BasicTypeRegistry: Adding type registration pg-uuid -> org.hibernate.type.PostgresUUIDType@7bc10d84
DEBUG [2016-01-24 19:26:56,110] org.hibernate.type.BasicTypeRegistry: Adding type registration binary -> org.hibernate.type.BinaryType@7e38a7fe
DEBUG [2016-01-24 19:26:56,110] org.hibernate.type.BasicTypeRegistry: Adding type registration byte[] -> org.hibernate.type.BinaryType@7e38a7fe
DEBUG [2016-01-24 19:26:56,110] org.hibernate.type.BasicTypeRegistry: Adding type registration [B -> org.hibernate.type.BinaryType@7e38a7fe
DEBUG [2016-01-24 19:26:56,111] org.hibernate.type.BasicTypeRegistry: Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@78fb9a67
DEBUG [2016-01-24 19:26:56,111] org.hibernate.type.BasicTypeRegistry: Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@78fb9a67
DEBUG [2016-01-24 19:26:56,111] org.hibernate.type.BasicTypeRegistry: Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@78fb9a67
DEBUG [2016-01-24 19:26:56,111] org.hibernate.type.BasicTypeRegistry: Adding type registration image -> org.hibernate.type.ImageType@2611b9a3
DEBUG [2016-01-24 19:26:56,112] org.hibernate.type.BasicTypeRegistry: Adding type registration characters -> org.hibernate.type.CharArrayType@7829b776
DEBUG [2016-01-24 19:26:56,112] org.hibernate.type.BasicTypeRegistry: Adding type registration char[] -> org.hibernate.type.CharArrayType@7829b776
DEBUG [2016-01-24 19:26:56,112] org.hibernate.type.BasicTypeRegistry: Adding type registration [C -> org.hibernate.type.CharArrayType@7829b776
DEBUG [2016-01-24 19:26:56,114] org.hibernate.type.BasicTypeRegistry: Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@1c80e49b
DEBUG [2016-01-24 19:26:56,114] org.hibernate.type.BasicTypeRegistry: Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@1c80e49b
DEBUG [2016-01-24 19:26:56,114] org.hibernate.type.BasicTypeRegistry: Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@1c80e49b
DEBUG [2016-01-24 19:26:56,114] org.hibernate.type.BasicTypeRegistry: Adding type registration text -> org.hibernate.type.TextType@56276db8
